response,predictor,r2_part,R2_model,p,F_val,estimate,effect_size,effect_size_st,lambda,formula
o_Plants,sowndiv,0.195,0.3367869904200542,2.238413506598744e-6,26.51839116197791,0.14715064123009852,0.8234899205122914,0.4304492213732965,0,log(o_Plants) ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef
o_Plants,numfg,0.002,0.2638217671885507,0.005731769864645241,8.097172837351684,-0.021195874110456966,-1.17391611063785,-0.055077361874036015,0,log(o_Plants) ~ block + numfg + log2(sowndiv)
o_Plants,leg.ef,0.044,0.33678699042005433,0.7360726575988186,0.11450354130376557,-0.17580989226890606,-9.857545429353486,-0.20013944556282887,0,log(o_Plants) ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef
o_Plants,gr.ef,0.027,0.33678699042005417,3.24212013215665e-4,14.284235324571698,0.1432415490289997,7.932506786382355,0.1610550538699436,0,log(o_Plants) ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef
o_Plants,sh.ef,0.002,0.3367869904200543,0.014155277715935092,6.3271163633568746,0.03885309983752768,2.159405508085406,0.043911620413528876,0,log(o_Plants) ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef
o_Plants,th.ef,0.01,0.3367869904200542,0.3252866488862256,0.9811180686981115,-0.08569823658461699,-4.789263645106587,-0.09702310054837453,0,log(o_Plants) ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef
o_Plants,FDbranch,0.189,0.20026678104194431,7.935333410375666e-5,17.43457474662157,0.10905249972106963,6.665842197161972,0.4839369911279148,0,log(o_Plants) ~ block + FDbranch
o_Plants,FDis,0.05,0.29909233757525366,1.2310815656275797e-6,27.91190115263749,1.7344666537336,122.54534502467511,0.28080843986706133,-0.09999999999999987,(o_Plants ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv)
Plants_AG.Herbivores,sowndiv,0.099,0.3392462966584985,0.003631646805054142,9.050655484006523,0.09964620776306782,7.06408301639084e-4,0.2352232314887733,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef
Plants_AG.Herbivores,numfg,0.002,0.14445355932600576,0.16337554181158048,1.981918279493384,-0.021762961052511444,-0.0015145415378756803,-0.045266616591727246,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv)
Plants_AG.Herbivores,leg.ef,0.01,0.3392462966584985,0.005190547502585807,8.318854207711126,0.08421696482692001,0.005948164000652026,0.0769321054422905,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef
Plants_AG.Herbivores,gr.ef,0.178,0.3392462966584983,0.016576600664113907,6.022813431371257,-0.4037722211526336,-0.02967601560425837,-0.383822362887708,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef
Plants_AG.Herbivores,sh.ef,0.048,0.3392462966584984,0.013178335803568421,6.46579399477861,0.1892395764153717,0.013362070795616663,0.17309311996311666,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef
Plants_AG.Herbivores,th.ef,0,0.33924629665849854,0.5264384936814668,0.40524792458381953,0.017098236879980595,0.0012113347681161415,0.015632605396111728,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef
Plants_AG.Herbivores,FDbranch,0.127,0.17789827128939137,0.0014732282005774585,10.90170263132452,0.08800386018565977,0.007196033621728179,0.33280339988144264,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + FDbranch
Plants_AG.Herbivores,FDis,0.007,0.1483806927039112,0.08704914299726434,3.007402554763417,-1.016922872625593,-0.07709823890895626,-0.11254302248479994,0.20000000000000018,(Plants_AG.Herbivores ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv)
AG.Herbivores_AG.Carnivores,sowndiv,0.07,0.15758390959793372,0.09970125422515186,2.7825484243554435,0.015073814363696932,4.259576983675072e-5,0.2576480421911913,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef
AG.Herbivores_AG.Carnivores,numfg,0.031,0.13402234216194428,0.9023991326011934,0.015141914699504775,-0.013776360753863083,-3.8139221565958197e-4,-0.20706401371637365,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv)
AG.Herbivores_AG.Carnivores,leg.ef,0.004,0.15758390959793364,0.827221976897403,0.04799284324662425,-0.009800078223495146,-2.8086856047882707e-4,-0.06598781827803699,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef
AG.Herbivores_AG.Carnivores,gr.ef,0.022,0.1575839095979337,0.618732357645936,0.24984143133285033,-0.02386562565315079,-6.864817837119578e-4,-0.1612833957547278,0.40000000000000036,(AG.Herbivores_AG.Carnivores ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef
