response,predictor,r2_part,R2_model,p,F_val,estimate,effect_size,effect_size_st,lambda,formula
Plants_SOM,sh.ef,0.002,0.1934070766610352,0.7284393868643757,0.1215050310119724,0.1877801132520424,0.7294798401690405,0.03803127386675798,0.30000000000000027,(Plants_SOM ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef
Plants_SOM,th.ef,0.044,0.1934070766610353,0.0748125997210426,3.269532383825742,-0.9821970916526918,-3.909374360806429,-0.2030467224949983,0.30000000000000027,(Plants_SOM ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef
Plants_SOM,FDbranch,0.016,0.10997553288453073,0.27805008421527494,1.194093630314589,-0.4014004322075383,-1.43989814392784,-0.2680080772131872,0.30000000000000027,(Plants_SOM ^ lambda -1)/lambda ~ block + FDbranch_SI + log2(sowndiv)
Plants_SOM,FDis,0.069,0.1577973123168405,0.022121966321936675,5.4637491571729395,16.21491894168643,45.06576064637815,0.264753897917747,0.30000000000000027,(Plants_SOM ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv)
BG.Carnivores_SOM,sowndiv,0.002,0.2658483317071939,0.7316163710895844,0.11856273044454356,0.02745648291027312,0.0034305135739557007,0.02510580471731571,0.10000000000000009,(BG.Carnivores_SOM ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef
BG.Carnivores_SOM,numfg,0.01,0.11494639455047913,0.38932060474306973,0.7498563708567988,0.1022489989594365,0.13117594328052173,0.08616713011140813,0.10000000000000009,(BG.Carnivores_SOM ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv)
BG.Carnivores_SOM,leg.ef,0.154,0.26584833170719385,6.002439335267796e-4,12.904866006482747,0.7794347833940558,0.9680911847733215,0.275189295350503,0.10000000000000009,(BG.Carnivores_SOM ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef
BG.Carnivores_SOM,gr.ef,0.029,0.2658483317071938,0.15239714566286833,2.0927796233958125,0.3331813154043494,0.41405454983681533,0.11769901595885596,0.10000000000000009,(BG.Carnivores_SOM ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef
BG.Carnivores_SOM,sh.ef,0.031,0.2658483317071939,0.13771080331947366,2.2539201711827945,-0.33713309386168533,-0.42675921088702706,-0.12150090917642022,0.10000000000000009,(BG.Carnivores_SOM ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef
BG.Carnivores_SOM,th.ef,0.044,0.265848331707194,0.07330249216119725,3.3046563591210747,-0.4116220482786829,-0.5274601974558364,-0.14960546641338549,0.10000000000000009,(BG.Carnivores_SOM ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef
BG.Carnivores_SOM,FDbranch,0.01,0.11470841090803775,0.39571737940161444,0.7297621518330334,-0.1367431160437555,-0.16585272964043485,-0.1685806720539377,0.10000000000000009,(BG.Carnivores_SOM ^ lambda -1)/lambda ~ block + FDbranch_SI + log2(sowndiv)
BG.Carnivores_SOM,FDis,0.003,0.10891025311284779,0.6231443251584838,0.24350927498536698,1.538485950586641,1.8439781705210756,0.05915895293069896,0.10000000000000009,(BG.Carnivores_SOM ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv)
BG.Herbivores_SOM,sowndiv,0.004,0.0711498898657601,0.5878594506188553,0.2963913161927873,0.14739990836532896,1.559410818313542e-4,0.002807128469342535,-0.19999999999999996,(BG.Herbivores_SOM ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef
BG.Herbivores_SOM,numfg,0.001,0.027247222433373804,0.8211627421192157,0.05146276511551764,-0.08477089659255149,-8.8752602730261e-4,-0.0014340202107760566,-0.19999999999999996,(BG.Herbivores_SOM ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv)
BG.Herbivores_SOM,leg.ef,0.018,0.07114988986576014,0.2580703721881862,1.2998597371872778,-0.8399335837844571,-0.009163880648612163,-0.0064073940934019046,-0.19999999999999996,(BG.Herbivores_SOM ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef
BG.Herbivores_SOM,gr.ef,0,0.07114988986576008,0.9767285722084242,8.569392625333228e-4,-0.022892202422497114,-2.4282298794364374e-4,-1.6978206486440158e-4,-0.19999999999999996,(BG.Herbivores_SOM ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef
BG.Herbivores_SOM,sh.ef,0.02,0.0711498898657601,0.23573701482214884,1.430036807730187,0.9117995977486931,0.009666205590560906,0.006769231923307521,-0.19999999999999996,(BG.Herbivores_SOM ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef
BG.Herbivores_SOM,th.ef,0.004,0.07114988986576015,0.582127201926938,0.3056032522234635,-0.4250187894495476,-0.004573034703080223,-0.0031904284412247667,-0.19999999999999996,(BG.Herbivores_SOM ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef
BG.Herbivores_SOM,FDbranch,0.004,0.03078156126783844,0.5724248765811857,0.3214978265017045,0.2866719718696841,0.0037616325872793896,0.009404772034383621,-0.19999999999999996,(BG.Herbivores_SOM ^ lambda -1)/lambda ~ block + FDbranch_SI + log2(sowndiv)
BG.Herbivores_SOM,FDis,0.006,0.03282328715510708,0.4913160979346751,0.478391726114526,6.7816214992898844,0.05852988273717533,0.004618799380899941,-0.19999999999999996,(BG.Herbivores_SOM ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv)
BG.Decomposers_SOM,sowndiv,0.009,0.10166119908925572,0.41758196338778364,0.6648439015724488,0.11364330646674475,0.0665395149454065,0.04233213273597528,0.10000000000000009,(BG.Decomposers_SOM ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef
BG.Decomposers_SOM,numfg,0.021,0.09053715744950498,0.21089468616142062,1.592765723841794,-0.23869300315008415,-1.3367363389274753,-0.07633236202280187,0.10000000000000009,(BG.Decomposers_SOM ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv)
BG.Decomposers_SOM,leg.ef,0.016,0.10166119908925575,0.2822047820081576,1.1742064028419594,-0.4109495063411792,-2.453853005476505,-0.060637226429546505,0.10000000000000009,(BG.Decomposers_SOM ^ lambda -1)/lambda ~ block + leg.ef + log2(sowndiv) + gr.ef + sh.ef + th.ef
BG.Decomposers_SOM,gr.ef,0,0.10166119908925571,0.9662992872105943,0.0017977124981788202,-0.01706837657969036,-0.10047034385266862,-0.0024827253205681045,0.10000000000000009,(BG.Decomposers_SOM ^ lambda -1)/lambda ~ block + gr.ef + log2(sowndiv) + leg.ef + sh.ef + th.ef
BG.Decomposers_SOM,sh.ef,0.002,0.10166119908925572,0.6954831937303618,0.15446376864769415,-0.1542618879240804,-0.9106322441999648,-0.02253798899921203,0.10000000000000009,(BG.Decomposers_SOM ^ lambda -1)/lambda ~ block + sh.ef + log2(sowndiv) + leg.ef + gr.ef + th.ef
BG.Decomposers_SOM,th.ef,0.012,0.10166119908925572,0.3518979288822264,0.8781048384882837,-0.37087014129146806,-2.218255122844927,-0.05469464109525112,0.10000000000000009,(BG.Decomposers_SOM ^ lambda -1)/lambda ~ block + th.ef + log2(sowndiv) + leg.ef + gr.ef + sh.ef
BG.Decomposers_SOM,FDbranch,0.012,0.08222720915098938,0.343665191343865,0.9083131216614523,-0.24543870018185968,-1.2588486600925273,-0.1112331390685046,0.10000000000000009,(BG.Decomposers_SOM ^ lambda -1)/lambda ~ block + FDbranch_SI + log2(sowndiv)
BG.Decomposers_SOM,FDis,0.006,0.0761063841778441,0.5229178357447409,0.41204313364638456,3.2199075698731536,15.476766265963201,0.04316387650613906,0.10000000000000009,(BG.Decomposers_SOM ^ lambda -1)/lambda ~ block + FDis + log2(sowndiv)
BG.Omnivores_SOM,sowndiv,0.008,0.26383014658572185,0.4480625124640545,0.5819852432196222,0.06547779667260457,0.0022408363957422133,0.00964840209752902,-0.19999999999999996,(BG.Omnivores_SOM ^ lambda -1)/lambda ~ block + log2(sowndiv) + leg.ef + gr.ef + sh.ef + th.ef
BG.Omnivores_SOM,numfg,0.016,0.09743291163898946,0.2796196091866496,1.186259664746683,0.1396001886918719,0.05101789141368612,0.019716970115781746,-0.19999999999999996,(BG.Omnivores_SOM ^ lambda -1)/lambda ~ block + numfg + log2(sowndiv)
