response,predictor,r2_part,R2_model,p,estimate,effect_size,effect_size_st,lambda,formula
Soil.Microorganisms_o,numfg,0.001,0.12047624541105163,0.8029555233925367,0.033814567468488925,-0.0027011199907418515,-0.03863849179812615,0.7000000000000002,(Soil.Microorganisms_o ^ lambda -1)/lambda ~ block + numfg + sowndiv
Soil.Microorganisms_o,leg.ef,0.001,0.15370492368208324,0.800301836932175,-0.011123209888399153,-0.005435340280716572,-0.03364580047809918,0.7000000000000002,(Soil.Microorganisms_o ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
Soil.Microorganisms_o,gr.ef,0.014,0.15370492368208327,0.32156426464410925,-0.10859722206377927,0.022624940620907308,0.14005272874277724,0.7000000000000002,(Soil.Microorganisms_o ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
Soil.Microorganisms_o,sh.ef,0.022,0.15370492368208338,0.21132579899146797,-0.051323979723060284,-0.027970427232995587,-0.17341416957132863,0.7000000000000002,(Soil.Microorganisms_o ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
Soil.Microorganisms_o,th.ef,0,0.1537049236820833,0.9085298516581313,0.008358580605756994,0.0025739670639735868,0.015898260582846196,0.7000000000000002,(Soil.Microorganisms_o ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
Plants.Stock,sowndiv,0.259,0.4849304434647768,4.285911266806046e-6,4.402469593283887,120.13904747584553,0.5611346041936385,-0.09999999999999987,(Plants.Stock ^ lambda -1)/lambda ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
Plants.Stock,numfg,0,0.38349787853107603,0.9381584844626758,0.12135990148916864,2.2806610701742707,0.0077237390320470355,-0.09999999999999987,(Plants.Stock ^ lambda -1)/lambda ~ block + numfg + sowndiv
Plants.Stock,leg.ef,0.088,0.4849304434647768,0.010643174857535544,0.13711955956381056,-143.46212346099048,-0.21024802981742527,-0.09999999999999987,(Plants.Stock ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
Plants.Stock,gr.ef,0.046,0.4849304434647767,0.06846532223947906,0.16508701993748212,105.39345823993267,0.1544572631159766,-0.09999999999999987,(Plants.Stock ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
Plants.Stock,sh.ef,0.008,0.4849304434647769,0.44526514815461904,0.03841385798291755,42.804128597739805,0.0628292237220108,-0.09999999999999987,(Plants.Stock ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
