plotcode,block,plot,sowndiv,numfg,numgrass,numsherb,numtherb,numleg,gr.ef,sh.ef,th.ef,leg.ef,*  ->  Plants,Plants -> AG Herbivores,AG Herbivores -> AG Carnivores ,AG Decomposers -> AG Carnivores ,Plants -> AG Omnivores,AG Herbivores -> AG Omnivores,AG Decomposers -> AG Omnivores,AG Litter -> AG Omnivores,AG Litter -> AG Decomposers ,BG Herbivores -> BG Carnivores,BG Decomposers -> BG Carnivores,Plants -> BG Herbivores,SOM -> BG Decomposers ,Plants -> BG Omnivores,BG Herbivores -> BG Omnivores,BG Decomposers -> BG Omnivores,SOM -> BG Omnivores,Soil Microorganisms -> BG Omnivores,Plants  ->  SOM,BG Carnivores -> SOM,BG Herbivores -> SOM,BG Decomposers  -> SOM,BG Omnivores -> SOM,AG Litter -> SOM,Soil Microorganisms -> SOM,Plants  ->  AG Litter,AG Herbivores -> AG Litter,AG Carnivores  -> AG Litter,AG Omnivores -> AG Litter,AG Decomposers -> AG Litter,SOM -> Soil Microorganisms,Plants ->*,AG Herbivores -> *,AG Carnivores  -> *,AG Omnivores -> *,AG Decomposers -> *,BG Carnivores -> *,BG Herbivores -> *,BG Decomposers -> *,BG Omnivores -> *,Soil Microorganisms -> *,Plants StandBiom,AG Herbivores StandBiom,AG Carnivores StandBiom,AG Omnivores StandBiom,AG Decomposers StandBiom,BG Herbivores StandBiom,BG Carnivores StandBiom,BG Omnivores StandBiom,BG Decomposers StandBiom ,Soil Microorganisms StandBiom,AG Litter StandBiom,SOM StandBiom
B3A02,B3,A02,2,2,1,0,1,0,1,0,1,0,26.063,0.013888,0.0023923,3.53E-05,0.0010938,0.00016733,8.60E-06,0.011512,0.0022003,2.77E-06,1.5642,0.025763,3.2827,0.01244,0.00098242,0.070499,0.231,0.045855,1.0744,0.28107,0.023379,1.0259,0.22165,1.0813,0.0016983,1.0682,0.011059,0.0024249,0.011271,0.0020945,0.19343,23.869,0.00026953,2.66E-06,0.0015103,6.19E-05,1.2831,0.0013992,0.62212,0.13913,0.14587,414.2050726,0.008818384,0.009917879,0.002077121,0.000131431,0.056927303,0.384158955,0.396606558,3.41713831,5.183820172,19.33333333,133.9875046
B3A03,B3,A03,4,3,1,1,0,2,1,1,0,1,46.494,0.0090415,0.001619,0.00066404,0.0017425,7.96E-05,8.34E-05,0.049074,0.11157,4.50E-05,0.96067,0.026863,8.9586,0.96599,0.0035707,0.9065,1.1545,0.080185,6.4387,0.79172,0.023061,1.6676,0.95722,0.3427,0.11235,0.34139,0.00038061,0.0013201,0.04985,0.1104,0.22026,38.71,0.0069624,0.00096288,0.0011298,0.00042546,0.16899,0.00018681,5.4238,2.1535,0.027719,682.785888,0.006653114,0.020810152,0.002945758,0.002284781,0.07197803,1.086183339,1.747770109,5.531497295,6.444720311,64.66666667,131.0263285
B3A04,B3,A04,8,1,8,0,0,0,1,0,0,0,56.053,0.027374,0.00071167,0.0005396,0.016175,9.63E-05,0.00016068,0.018018,0.025465,0.50908,2.1159,1.3047,4.3294,0.00088503,0.00079875,0.033648,0.62567,0.00062394,1.0128,1.3351,0.054439,1.3512,0.59175,0.91071,0.00013372,0.88936,0.026522,0.0011642,0.01302,0.024129,0.30101,52.802,4.37E-05,8.71E-05,0.021429,0.00063504,1.2899,0.7404,0.82864,0.069877,0.30026,941.4251114,0.007496296,0.028923333,0.013576667,0.006509394,0.179589321,1.83252218,1.086612028,4.424723612,5.639272159,15.66666667,143.2927259
B3A05,B3,A05,8,3,3,0,2,3,1,0,1,1,31.534,0.016696,0.00094164,0.00035502,0.036096,0.00049907,0.00024744,0.12568,0.020943,0.028567,3.6977,0.044316,20.75,0.14938,0.0007424,0.3132,0.33329,0.058565,4.577,0.99641,0.008943,13.632,0.39405,1.7772,0.0033465,1.806,0.014772,0.00066084,0.082374,0.020042,0.30545,24.905,0.00048323,0.00063582,0.080147,0.00029823,2.7299,0.0060634,3.1073,0.46112,0.24354,432.8830165,0.015844495,0.064124663,0.100032626,0.005786296,0.018280373,1.343959732,0.712516843,37.51156285,6.884330938,36.66666667,146.3090685
B3A06,B3,A06,1,1,1,0,0,0,1,0,0,0,87.693,0.023626,0.0041255,0.00023147,0.00050779,0.00015812,1.15E-05,0.008313,0.018887,0.20817,32.868,0.27062,52.767,0.30515,0.01358,0.14286,0.059436,0.046758,21.86,2.5626,0.023722,17.275,0.56107,10.642,0.18362,10.626,0.01902,0.0038428,0.0021413,0.018301,0.28274,54.607,0.00032148,0.0005142,0.0068492,0.00034226,30.514,0.025146,2.4799,0.00671,0.052358,974.7379222,0.022573064,0.014183451,0.001627879,0.001180455,0.052542469,3.505133084,1.016435064,51.02339714,5.927387864,11,167.834207
B3A07,B3,A07,8,4,2,2,2,2,1,1,1,1,53.758,0.03817,0.0011082,0.0016535,0.025716,1.72E-06,7.84E-06,0.033537,0.15844,0.004921,7.2933,0.031968,15.238,0.013751,0.013729,0.0010849,0.1841,0.00011757,6.2906,4.8322,0.0087601,3.2775,0.19563,1.0948,5.52E-05,1.0337,0.036852,0.0010997,0.059032,0.15608,0.27769,46.324,0.0002081,0.001662,0.00023005,0.00069653,2.466,0.0045573,4.6658,0.017155,0.27752,822.5656792,0.002833923,0.046665842,0.014019394,0.015542508,0.02426824,6.574089414,0.347151979,10.79919423,7.294617565,53.33333333,157.73167
B3A08,B3,A08,2,1,2,0,0,0,1,0,0,0,48.022,0.0070457,0.0033448,0.00090351,0.0041221,0.00047761,5.23E-05,0.1242,0.057269,0.013404,7.5584,0.07373,53.113,0.31727,0.031866,0.2423,0.28076,0.042439,15.808,3.2609,0.010161,25.351,0.38031,8.7083,0.054747,8.7398,0.0028,0.0029219,0.087968,0.056309,0.17971,23.072,0.00042331,0.0013265,0.040888,4.10E-06,4.3108,0.018299,19.961,0.53432,0.082522,399.8742096,0.009949125,0.040502273,0.017741667,0.002727273,0.021818346,4.41850232,0.692948,73.02596568,5.789065545,48,144.025733
B3A09,B3,A09,16,1,16,0,0,0,1,0,0,0,80.921,0.021313,0.0048291,0.00072847,0.0039847,0.00052593,6.20E-06,0.04677,0.065988,0.0010948,0.82184,0.0081955,24.166,0.10424,1.27E-05,0.019898,0.028244,0.20565,13.053,0.81853,0.0060045,6.8016,0.34356,3.5566,0.029187,3.5424,0.011364,0.0047466,0.04685,0.063964,0.41351,64.188,0.0045942,0.00081096,0.0044377,0.0012901,0.0044053,0.0010834,16.523,0.014494,0.17867,1152.118694,0.017129192,0.016998838,0.007285909,0.002846481,0.012708412,1.110721383,0.619611804,19.73176233,6.669873777,45,167.9582903
B3A11,B3,A11,4,2,2,2,0,0,1,1,0,0,91.328,0.014458,0.0033678,0.00094176,0.0076102,0.0011903,0.00035756,0.058324,0.032009,0.26786,3.5967,0.32041,28.029,0.23205,0.044685,0.18945,0.14515,0.086114,19.33,2.0945,0.0076321,1.5023,0.32096,5.1322,0.0021391,5.135,0.0092307,0.0027931,0.044843,0.030592,0.2156,66.289,0.00066927,0.0015165,0.022639,0.00011824,1.7701,0.00023238,22.741,0.37648,0.12735,1191.077385,0.030691987,0.045002155,0.048153485,0.008737121,0.022337219,2.848616964,0.613910691,4.899222849,6.05993237,41.66666667,154.2343322
B3A12,B3,A12,1,1,0,0,0,1,0,0,0,1,24.434,0.051705,0.001172,0.00085761,0.023386,0.0003149,0.0040563,0.01682,0.0053194,0.06323,2.1244,0.077868,16.755,0.19767,0.00040533,0.30781,0.31453,0.12266,3.8662,2.1833,0.012164,6.2173,0.41237,4.6872,0.0002519,4.6142,0.049647,0.0020287,0.043398,6.92E-05,0.30934,15.603,0.00057066,1.00E-06,0.0011792,0.00033637,0.0043469,0.0020686,8.1054,0.5307,0.18643,266.8350388,0.011710842,0.039217121,0.015508182,0.003532694,0.030759297,2.958270773,0.732849517,20.58040449,6.90274662,43.33333333,183.5255165
