plotcode,block,plot,sowndiv,numfg,numgrass,numsherb,numtherb,numleg,gr.ef,sh.ef,th.ef,leg.ef,*  ->  Plants,Plants -> AG Herbivores,AG Herbivores -> AG Carnivores ,AG Decomposers -> AG Carnivores ,Plants -> AG Omnivores,AG Herbivores -> AG Omnivores,AG Decomposers -> AG Omnivores,AG Litter -> AG Omnivores,AG Litter -> AG Decomposers ,BG Herbivores -> BG Carnivores,BG Decomposers -> BG Carnivores,Plants -> BG Herbivores,SOM -> BG Decomposers ,Plants -> BG Omnivores,BG Herbivores -> BG Omnivores,BG Decomposers -> BG Omnivores,SOM -> BG Omnivores,Soil Microorganisms -> BG Omnivores,Plants  ->  SOM,BG Carnivores -> SOM,BG Herbivores -> SOM,BG Decomposers  -> SOM,BG Omnivores -> SOM,AG Litter -> SOM,Soil Microorganisms -> SOM,Plants  ->  AG Litter,AG Herbivores -> AG Litter,AG Carnivores  -> AG Litter,AG Omnivores -> AG Litter,AG Decomposers -> AG Litter,SOM -> Soil Microorganisms,Plants ->*,AG Herbivores -> *,AG Carnivores  -> *,AG Omnivores -> *,AG Decomposers -> *,BG Carnivores -> *,BG Herbivores -> *,BG Decomposers -> *,BG Omnivores -> *,Soil Microorganisms -> *,Plants StandBiom,AG Herbivores StandBiom,AG Carnivores StandBiom,AG Omnivores StandBiom,AG Decomposers StandBiom,BG Herbivores StandBiom,BG Carnivores StandBiom,BG Omnivores StandBiom,BG Decomposers StandBiom ,Soil Microorganisms StandBiom,AG Litter StandBiom,SOM StandBiom
B4A09,B4,A09,1,1,0,0,0,1,0,0,0,1,37.08,0.00048571,4.31E-06,0.00034505,0.010631,3.32E-05,0.0011016,0.022467,0.29621,0.23816,1.4327,0.28429,39.349,0.065216,0.029469,0.11199,0.17906,0.038567,0.018807,1.1336,0.0077084,17.923,0.38227,20.138,0.053612,20.128,7.81E-05,8.51E-05,0.033977,0.2947,0.12881,16.573,0.00037011,0.00026431,0.00025481,6.15E-05,0.53728,0.0089531,19.881,0.042034,0.036635,286.3544848,0.006011313,0.041259091,0.001770455,0.015495724,0.016208201,1.531635176,0.703763183,48.69717208,4.828350142,148,124.9144129
B4A10,B4,A10,8,3,2,3,3,0,1,1,1,0,144.84,0.008049,0.0010808,0.00013449,0.00013663,6.79E-05,2.86E-07,0.0077832,0.13138,0.0034325,25.174,0.02009,227.44,0.0036867,0.00056123,1.4521,0.016719,0.17743,57.479,0.81511,0.012141,158.95,0.81202,9.5622,0.0016764,9.5664,0.0064899,4.74E-05,0.00077212,0.12764,0.18023,77.764,0.00041034,0.0011679,0.0072159,0.0036012,24.363,0.0039551,41.859,0.83845,0.0011224,1404.979006,0.021692155,0.01954899,0.000887273,0.0050483,0.023468328,1.121583038,1.481188655,405.5871719,5.04197935,43.66666667,115.2747305
B4A11,B4,A11,4,3,1,0,2,1,1,0,1,1,36.474,0.0098339,0.00063418,0.0019001,0.012218,0.00014492,0.00043008,0.058261,0.14359,0.008247,2.5685,0.037591,13.003,0.23526,0.010085,0.26966,0.69872,0.083479,5.1421,1.1296,0.008895,3.202,0.53508,3.847,0.0049815,3.8658,0.0070242,0.001369,0.035933,0.1387,0.16777,27.171,0.0020305,0.0011653,0.035122,0.0025569,1.4471,0.010364,6.963,0.76211,0.079305,473.5185381,0.002635707,0.017065606,0.010003636,0.007837727,0.023727327,1.535131778,0.969331902,10.66798304,4.223836258,93.66666667,134.3589279
B4A12,B4,A12,1,1,1,0,0,0,1,0,0,0,27.646,0.0045025,0.00085053,0.0010035,0.0051774,5.32E-05,7.44E-05,0.037982,0.040557,0.2435,1.2043,0.69312,5.6759,0.11666,0.05629,0.039833,0.19742,0.058605,3.0575,0.65955,0.061822,1.9654,0.26595,0.038133,0.035783,0.038896,0.00018397,0.00058977,0.037882,0.039119,0.21079,23.731,0.0034148,0.0012642,0.0054045,0.00035976,0.78825,0.33151,2.4664,0.20285,0.1164,411.7097049,0.002357879,0.042064781,0.007999545,0.002805,0.164679289,0.902032478,0.480949714,6.549259405,4.573539908,30,120.9264792
B4A13,B4,A13,1,1,0,0,1,0,0,0,1,0,17.308,0.02472,0.0028133,7.92E-05,0.0012839,8.58E-05,1.48E-05,0.061822,0.035062,0.00036993,3.2349,0.018642,4.6825,0.067487,0.0014015,0.17682,0.18069,0.0096643,0.073408,0.63115,0.01218,1.1601,0.17298,3.0087,0.00047274,2.986,0.021105,0.00051973,0.063046,0.034894,0.19573,14.136,0.00071619,0.0023727,0.00016003,7.39E-05,2.6041,0.0046907,0.11069,0.26308,0.18559,240.9596761,0.021191936,0.033567424,0.003187273,0.000603182,0.038219826,0.864609556,0.316761902,3.861760495,5.165735806,38,112.7956608
B4A14,B4,A14,2,1,0,2,0,0,0,1,0,0,32.069,0.038913,0.0041041,0.0021554,0.0044138,0.0012372,0.00063481,0.015505,0.072733,0.0049195,2.1371,0.069686,9.0457,0.14456,0.030795,0.10998,0.10662,0.0005728,4.0513,0.45671,0.029068,3.8595,0.18505,0.79062,0.00013733,0.75048,0.032662,0.0055107,0.020819,0.069391,0.22005,27.01,0.00090916,0.00074888,0.00097179,0.00055156,1.6853,0.0049043,2.9392,0.20748,0.21934,470.6877439,0.013995589,0.005025539,0.004655303,0.007234545,0.063110258,0.624455605,0.340429843,11.36494011,5.190817516,34,105.2622724
B4A15,B4,A15,2,2,0,1,0,1,0,1,0,1,21.58,0.043208,0.004591,0.0011716,0.002704,0.00015666,4.90E-05,0.026377,0.10744,0.10575,4.5581,0.14715,10.409,0.058652,0.0052572,0.20152,0.22234,0.030927,0.64435,2.8011,0.0085669,1.9962,0.24322,5.0762,0.00184,5.0364,0.036795,0.0046411,0.02697,0.10519,0.14042,15.648,0.0016646,0.0011215,0.0023173,0.0010222,1.8627,0.027573,3.6529,0.27548,0.10765,267.6570348,0.020853418,0.039308872,0.004014242,0.005347273,0.028518551,3.799296546,0.461932758,6.618636854,5.335339852,62,120.6030158
B4A16,B4,A16,8,4,2,2,2,2,1,1,1,1,40.541,0.0046743,0.00064906,0.0029495,0.010021,6.42E-05,0.0002915,0.033567,0.067137,0.039474,8.6432,0.045472,20.019,4.18E-05,0.00053777,0.047861,0.0051043,0.13379,7.7018,5.5332,0.0045749,3.8257,0.083109,3.0096,2.66E-05,2.9959,0.0037807,0.0035714,0.04335,0.063672,0.13383,29.783,0.00018038,2.71E-05,0.00059376,0.00022357,3.1495,0.00088587,7.5023,0.10423,1.23E-05,520.7190771,0.002068788,0.04320867,0.013557273,0.009407475,0.015212718,7.560552696,0.148099405,12.71726547,4.6539568,42.66666667,117.0473748
B4A17,B4,A17,2,1,0,0,2,0,0,0,1,0,68.744,0.029595,0.004842,0.00020686,0.0013045,0.00010097,3.86E-05,0.1342,0.19373,0.0017878,0.51316,0.024833,5.5152,0.49509,0.0028445,0.00024126,0.0087906,0.01613,0.030611,0.38191,0.0080071,1.0443,0.21232,4.1017,0.0060604,4.1298,0.021707,0.0044246,0.080701,0.193,0.26087,64.033,0.0029455,0.00062425,0.054938,0.00047926,0.13303,0.012194,3.9575,0.31078,0.23868,1149.209017,0.017868535,0.034389141,0.001988182,0.000618754,0.020889616,0.521712302,0.385717722,3.474970796,4.897555843,77.66666667,124.7594211
B4A18,B4,A18,16,4,4,4,4,4,1,1,1,1,112.21,0.13122,0.0009211,0.00090931,0.028781,0.001349,0.00036276,0.30898,0.38002,0.052488,1.0191,0.30783,18.711,0.19274,0.083949,0.2749,0.21471,0.08432,11.187,1.0091,0.049936,3.845,0.43268,2.6227,0.039288,2.6106,0.12893,0.001154,0.19243,0.37862,0.26048,97.751,1.03E-05,0.00067643,0.14704,0.00012067,0.062535,0.12146,13.572,0.41793,0.13687,1778.720736,0.015405471,0.005801162,0.012082273,0.006659747,0.12098844,1.374805869,0.790606746,12.7939817,6.494753694,178.6666667,101.7970332
B4A20,B4,A20,16,2,0,0,8,8,0,0,1,1,101.45,0.050592,0.0020814,0.0021233,0.017826,0.00018461,0.00033345,0.05209,0.155,0.46398,0.87054,0.69914,30.069,0.035356,0.0045996,0.0063081,0.055189,0.015875,8.2093,1.0354,0.18014,12.12,0.074324,8.6616,0.056404,8.6292,0.047852,0.0026812,0.038199,0.15079,0.21348,83.813,0.00047435,0.0015235,0.032236,0.0017503,0.29909,0.050414,17.072,0.043003,0.1412,1518.087196,0.007255152,0.027701465,0.007593485,0.007447946,0.364283337,1.397548627,0.136997818,33.37439643,6.472106632,109,130.8723834
B4A21,B4,A21,2,2,0,0,1,1,0,0,1,1,38.836,0.050853,0.00093312,0.0008256,0.0023825,2.53E-05,5.72E-07,0.017868,0.35059,0.090849,2.792,0.45454,29.745,0.004386,0.00015489,0.00020607,2.0523,0.14254,7.4314,2.8827,0.011739,8.3372,0.25281,13.028,0.013921,13.023,0.011563,0.0017019,0.017435,0.34333,0.16066,17.87,0.038332,5.68E-05,0.0028417,0.0064326,0.00010536,0.3518,18.616,1.9468,0.0042003,307.0501113,0.015104714,0.028614411,0.001947576,0.011197811,0.028604564,3.883233933,0.454192517,27.647833,4.97922837,106,106.5902713
B4A22,B4,A22,4,1,0,0,4,0,0,0,1,0,41.398,0.032433,0.0042935,0.0017224,0.0032804,0.00031679,0.00014061,0.045486,0.21824,0.00026992,0.5891,0.032145,3.2739,0.00026486,0.00022452,0.11251,0.049879,0.19149,0.12443,0.50648,0.015201,2.5001,0.14756,0.22319,0.0037051,0.27006,0.025872,0.0042699,0.0014315,0.18529,0.19687,40.935,0.0019511,0.001746,0.047792,0.031091,0.082892,0.016449,0.07221,0.20681,0.0016735,723.5194873,0.015527795,0.019609394,0.004558788,0.006623013,0.034509737,0.683236255,0.27091914,7.796937138,4.950257669,78.33333333,107.2427037
