"","flux","block","sowndiv","leg.ef","gr.ef","sh.ef","th.ef","block1","sowndiv1","numfg"
"1","root.StandBiom",0.0114307005557719,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"2","shoot.StandBiom",0.464211959874004,2.01011419043689e-06,0.0073242032535797,0.146170757258385,0.0328720600049311,0.35487139634342,0.531705424961787,8.29199503286424e-06,0.914984881370196
"3",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"4",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"5",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"6",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"7",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"8",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"9",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"10",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"11",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
"12",NA,NA,1.22247332634547e-06,0.000526009986746381,0.0409411630865109,0.296196616365279,0.959987694311612,0.0259356049979066,7.45511296849999e-06,0.905642563249482
